wave,hate_violence_means,hate_pol_message,hate_prevent_settlement,hate_polcondemn,hate_justified,MateComp.cont,JobComp.cont,LifeSatis.cont,pop_15_44_muni_gendergap_2015,age,age_group,gender,state,citizenship,marital,religion,eduyrs,occupation,income,household_size,self_econ,distance_ref,settle_ref,lrscale,afd,muslim_ind,afd_ind,contact_ind,list,treatment_list,outcome_list,ref_integrating,ref_citizenship,ref_reduce,ref_moredone,ref_cultgiveup,ref_economy,ref_crime,ref_terror,ref_loc_services,ref_loc_economy,ref_loc_crime,ref_loc_culture,ref_loc_islam,ref_loc_schools,ref_loc_housing,ref_loc_wayoflife,women_role
4,1,1,1,2,1,1,2,7,1.0242882045322488,45,40-49,Female,Nordrhein-Westfalen,1,"Single, without partner",Roman Catholic,13,Employee in low / medium position,"2,000 to below 2,500 <80>",1,5,6-10 kilometers,500 <96> 999,5,0,0.25,0,0.16666666666666666,NA,NA,NA,3,2,3,2,3,2,3,3,3,3,2,2,2,4,4,3,1
4,1,1,1,1,1,1,1,7,1.0242882045322488,62,60 and older,Female,Nordrhein-Westfalen,1,Married,Protestant,9,Employee in low / medium position,"2,000 to below 2,500 <80>",2,5,3-5 kilometers,50 <96> 249,5,2,0.75,1,0.3333333333333333,NA,NA,NA,3,2,4,1,3,1,4,2,4,4,4,2,2,4,4,1,1
4,2,2,2,1,3,2,2,6,1.0242882045322488,67,60 and older,Female,Nordrhein-Westfalen,1,"With partner, not living together",No answer,10,Retired,No answer,1,4,Don't know,250 <96> 499,5,0,0.75,0,0,NA,NA,NA,3,4,3,4,2,3,3,4,3,3,3,2,3,3,3,2,2
4,1,1,1,1,1,2,2,5,1.0125698324022343,46,40-49,Male,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",12,Unemployed / seeking work,"500 to below 1,000 <80>",1,5,Don't know,50 <96> 249,5,0,0.75,0,0.16666666666666666,NA,NA,NA,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3
4,2,1,1,1,1,1,2,1,1.0125698324022343,50,40-49,Female,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",13,Employee in low / medium position,"5,000 or more <80>",4,8,Less than 3 kilometer,500 <96> 999,6,1,0.75,0.3333333333333333,0.16666666666666666,NA,NA,NA,2,2,3,2,3,3,3,3,2,3,3,2,2,3,2,3,3
4,2,1,1,3,1,4,4,3,0.9771273192578376,38,30-39,Male,Nordrhein-Westfalen,1,Married,Roman Catholic,13,Senior civil servant <96> highest level,"4,500 to below 5,000 <80>",3,6,3-5 kilometers,50 <96> 249,6,80,1,1,0.16666666666666666,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,1,1,1,1,1,2,3,5,0.9600709849157054,51,50-59,Female,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",11,Self-employed / freelancer,No answer,2,6,Less than 3 kilometer,1 <96> 49,6,0,0.875,0.6666666666666666,0,NA,NA,NA,3,1,4,4,3,3,4,4,4,3,4,3,4,4,4,4,3
4,2,2,2,3,2,4,4,3,1.0076162577810326,49,40-49,Female,Nordrhein-Westfalen,1,"With partner, not living together",Roman Catholic,13,Employee in low / medium position,"1,000 to below 1,500 <80>",2,0 ( BOTTOM ),3-5 kilometers,500 <96> 999,8,49,1,1,0.3333333333333333,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
4,1,3,1,2,1,1,2,7,1.0076162577810326,43,40-49,Female,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",15,Employee in low / medium position,"2,000 to below 2,500 <80>",5,7,6-10 kilometers,250 <96> 499,5,0,0.125,0.6666666666666666,0.5,NA,NA,NA,2,2,2,2,3,2,1,1,3,2,1,2,2,4,2,3,2
4,3,2,1,4,1,2,4,7,1.030768061991947,68,60 and older,Male,Nordrhein-Westfalen,1,Widowed,"No, I don't feel close to any religion",17,Retired,"1,000 to below 1,500 <80>",1,7,Less than 3 kilometer,250 <96> 499,6,1,0.75,0.6666666666666666,0.5,NA,NA,NA,4,3,3,3,2,2,2,3,3,3,2,3,3,4,4,3,2
4,1,2,2,2,2,2,3,3,1.030768061991947,45,40-49,Male,Nordrhein-Westfalen,1,Married,Roman Catholic,11,Unskilled worker,"2,500 to below 3,000 <80>",2,6,11-20 kilometers,1 <96> 49,3,10,1,0,0,NA,NA,NA,3,3,4,4,3,4,3,3,4,3,3,3,3,3,2,2,3
4,3,2,3,2,3,2,2,5,1.030768061991947,33,30-39,Male,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",11,Skilled worker,"5,000 or more <80>",2,5,Don't know,500 <96> 999,3,0,0.875,0.6666666666666666,0.16666666666666666,NA,NA,NA,3,2,4,3,2,3,3,4,2,3,2,3,2,2,2,2,3
4,1,1,1,1,1,1,2,7,1.0887073522345023,56,50-59,Female,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",10,Employee in high position,No answer,2,5,Less than 3 kilometer,50 <96> 249,5,0,0.875,0.3333333333333333,0,NA,NA,NA,4,4,4,4,1,4,4,4,3,4,1,4,1,1,2,2,2
4,1,1,1,1,1,1,2,8,1.0887073522345023,51,50-59,Female,Nordrhein-Westfalen,1,Married,Roman Catholic,11,Employee in high position,"3,500 to below 4,000 <80>",2,6,Less than 3 kilometer,250 <96> 499,4,0,0.5,0,0.5,NA,NA,NA,2,3,3,3,2,2,2,2,2,2,2,2,2,4,3,3,1
4,2,1,1,2,1,2,2,6,1.010125406409661,50,40-49,Male,Nordrhein-Westfalen,1,Married,Protestant,13,Unskilled worker,"1,500 to below 2,000 <80>",5,5,3-5 kilometers,50 <96> 249,7,30,0.875,1,0.5,NA,NA,NA,4,3,4,2,3,4,4,4,4,3,4,3,4,4,4,4,4
4,1,1,1,2,1,2,2,6,0.9872821479039096,55,50-59,Female,Nordrhein-Westfalen,1,Divorced / separated,"No, I don't feel close to any religion",12,Retired,"1,500 to below 2,000 <80>",2,3,11-20 kilometers,250 <96> 499,4,0,0.25,0,0,NA,NA,NA,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2
4,1,1,1,1,1,1,2,7,0.9872821479039096,34,30-39,Female,Nordrhein-Westfalen,1,Divorced / separated,"No, I don't feel close to any religion",8,Employee in low / medium position,"1,000 to below 1,500 <80>",1,3,Less than 3 kilometer,50 <96> 249,0,0,0,0.3333333333333333,0.16666666666666666,NA,NA,NA,2,2,3,4,1,2,1,2,3,2,1,1,1,2,3,1,2
4,1,1,1,1,2,1,1,7,1.0115824472943842,51,50-59,Female,Nordrhein-Westfalen,1,Married,Roman Catholic,13,Employee in low / medium position,"2,000 to below 2,500 <80>",2,5,11-20 kilometers,250 <96> 499,7,2,0.875,0.3333333333333333,0.5,NA,NA,NA,3,2,3,2,2,3,3,3,3,3,4,3,3,3,3,3,2
4,2,1,1,1,1,2,2,8,1.0115824472943842,65,60 and older,Male,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",16,Retired,"2,000 to below 2,500 <80>",2,4,3-5 kilometers,50 <96> 249,2,0,0.25,0,0.5,NA,NA,NA,2,1,1,2,3,2,2,2,2,2,2,1,2,2,2,2,3
4,1,1,1,1,1,1,2,8,1.0115824472943842,34,30-39,Male,Nordrhein-Westfalen,1,"With partner, living together",Roman Catholic,20,Employee in low / medium position,"3,000 to below 3,500 <80>",2,8,Don't know,250 <96> 499,4,0,0.5,0,0,NA,NA,NA,3,2,2,2,3,3,2,2,2,3,2,2,2,2,1,3,2
4,2,2,2,3,2,3,3,6,1.0115824472943842,79,60 and older,Female,Nordrhein-Westfalen,1,Widowed,"No, I don't feel close to any religion",9,Retired,"1,500 to below 2,000 <80>",1,6,Don't know,There are no refugees in my town,4,0,1,0,0,NA,NA,NA,4,2,3,3,3,2,2,2,3,2,3,2,3,3,3,2,2
4,4,3,3,4,4,2,4,6,1.0115824472943842,32,30-39,Female,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",20,Employee in low / medium position,below 500 <80>,1,5,3-5 kilometers,250 <96> 499,5,80,0.875,1,0.16666666666666666,NA,NA,NA,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,1
4,1,1,1,3,2,1,2,7,1.0115824472943842,20,18-29,Female,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",14,"In schooling / vocational training, student","1,000 to below 1,500 <80>",2,7,3-5 kilometers,250 <96> 499,2,0,0.375,0.3333333333333333,0,NA,NA,NA,2,2,3,2,3,2,2,1,3,2,2,2,3,3,3,3,1
4,1,1,2,1,2,2,2,7,1.0985915492957747,58,50-59,Female,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",21,Skilled worker,"2,000 to below 2,500 <80>",1,7,21-50 kilometers,50 <96> 249,5,10,0.375,0.6666666666666666,0,NA,NA,NA,3,3,3,4,3,2,4,4,3,3,3,3,2,3,2,2,4
4,1,1,1,2,1,2,2,8,1.0985915492957747,56,50-59,Female,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",13,Homemaker,"2,000 to below 2,500 <80>",2,6,Less than 3 kilometer,500 <96> 999,5,10,1,1,0.3333333333333333,NA,NA,NA,4,4,4,4,3,4,3,3,4,4,4,2,4,4,4,4,3
4,1,1,1,1,1,2,3,7,1.0985915492957747,45,40-49,Male,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",13,Employee in high position,"1,500 to below 2,000 <80>",1,7,Less than 3 kilometer,50 <96> 249,3,1,0.125,0,0.5,NA,NA,NA,2,2,1,1,2,2,2,2,3,2,2,2,3,3,3,3,2
4,2,1,1,1,1,2,2,8,1.046793437733035,71,60 and older,Female,Nordrhein-Westfalen,1,Married,Roman Catholic,14,Retired,No answer,3,7,Less than 3 kilometer,250 <96> 499,6,0,0.125,0,0.3333333333333333,NA,NA,NA,2,1,1,2,3,2,1,1,2,1,2,1,2,3,2,2,2
4,1,2,1,2,1,2,4,7,1.0437227611415718,39,30-39,Male,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",14,Employee in low / medium position,"2,000 to below 2,500 <80>",3,4,Don't know,50 <96> 249,6,0,0.875,0.6666666666666666,0,NA,NA,NA,4,2,4,4,4,4,3,3,4,4,3,4,4,4,4,3,2
4,1,1,1,1,1,1,1,6,1.0466607695709862,53,50-59,Female,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",15,Self-employed / freelancer,"2,500 to below 3,000 <80>",2,5,Less than 3 kilometer,250 <96> 499,6,0,0.5,0,0,NA,NA,NA,2,1,2,2,3,1,2,2,1,1,1,2,1,4,1,1,1
4,1,1,1,1,1,1,3,8,1.0146345343195735,48,40-49,Female,Nordrhein-Westfalen,1,"Single, without partner",Roman Catholic,15,Employee in low / medium position,"2,000 to below 2,500 <80>",1,7,21-50 kilometers,50 <96> 249,7,0,0.875,0,0.6666666666666666,NA,NA,NA,3,2,3,4,3,3,3,2,4,3,4,2,4,4,4,4,1
4,2,1,2,1,2,2,4,5,1.0146345343195735,27,18-29,Male,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",9,Employee in low / medium position,"2,500 to below 3,000 <80>",1,6,3-5 kilometers,250 <96> 499,1,0,0.625,1,0.6666666666666666,NA,NA,NA,4,4,4,4,4,3,4,4,4,2,3,2,4,4,3,3,3
4,1,1,1,2,1,3,3,7,1.0146345343195735,65,60 and older,Male,Nordrhein-Westfalen,1,Married,Roman Catholic,12,Retired,No answer,2,4,Don't know,500 <96> 999,5,31,1,0.6666666666666666,0.5,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,3,2
4,1,1,1,2,1,1,2,9,1.030576196857108,50,40-49,Male,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",18,Employee in high position,"5,000 or more <80>",2,8,Less than 3 kilometer,250 <96> 499,8,20,0.625,0.6666666666666666,0,NA,NA,NA,4,4,4,3,4,4,4,3,4,4,4,3,3,4,1,3,1
4,1,1,1,1,1,2,2,9,1.030576196857108,43,40-49,Male,Nordrhein-Westfalen,1,Married,Roman Catholic,12,Employee in low / medium position,"3,500 to below 4,000 <80>",3,7,Less than 3 kilometer,50 <96> 249,5,2,0.875,0,0.5,NA,NA,NA,2,2,3,2,3,2,3,3,3,3,3,2,4,3,3,3,3
4,2,2,2,3,2,2,2,5,1.01823927765237,49,40-49,Female,Nordrhein-Westfalen,1,Married,Protestant,16,Employee in low / medium position,"4,500 to below 5,000 <80>",3,6,Less than 3 kilometer,500 <96> 999,8,80,0.875,1,0.5,NA,NA,NA,4,3,4,4,3,4,4,4,4,4,4,2,4,4,4,4,2
4,3,2,2,3,2,2,1,4,1.01823927765237,51,50-59,Female,Nordrhein-Westfalen,1,Married,Roman Catholic,15,Homemaker,No answer,4,8,Less than 3 kilometer,250 <96> 499,9,99,0.875,1,0.8333333333333334,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,3,4,3,4,2,2,4
4,2,2,2,2,2,1,2,10,1.01823927765237,20,18-29,Female,Nordrhein-Westfalen,1,"With partner, living together",Protestant,13,"In schooling / vocational training, student","2,500 to below 3,000 <80>",5,6,6-10 kilometers,250 <96> 499,6,0,0.125,0.3333333333333333,0,NA,NA,NA,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2
4,3,3,3,2,3,3,3,7,1.01823927765237,46,40-49,Female,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",18,Skilled worker,"2,500 to below 3,000 <80>",2,5,11-20 kilometers,1 <96> 49,5,50,0.75,1,0.8333333333333334,NA,NA,NA,2,2,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3
4,4,4,4,4,4,4,4,8,1.098360655737705,55,50-59,Female,Nordrhein-Westfalen,1,Married,Protestant,16,Employee in high position,"4,000 to below 4,500 <80>",4,10 ( TOP ),Less than 3 kilometer,1000 and more,10,66,1,1,0.5,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
4,1,2,2,2,2,2,2,5,1.0896853713915018,54,50-59,Male,Nordrhein-Westfalen,1,Married,Roman Catholic,11,Homemaker,"1,500 to below 2,000 <80>",2,4,Don't know,50 <96> 249,4,0,0.875,0,0,NA,NA,NA,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
4,1,1,1,2,1,2,3,4,1.0896853713915018,47,40-49,Female,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",17,Skilled worker,No answer,4,5,Less than 3 kilometer,1000 and more,2,0,0.875,0.6666666666666666,0.6666666666666666,NA,NA,NA,3,4,3,4,2,3,3,2,3,3,3,2,2,3,3,2,3
4,2,1,1,2,1,4,4,8,1.052953036053131,33,30-39,Female,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",19,Unskilled worker,"3,000 to below 3,500 <80>",4,6,Don't know,1000 and more,5,0,0,0,0,NA,NA,NA,4,4,4,3,1,4,4,4,3,3,4,3,2,3,2,2,4
4,1,1,1,2,1,2,3,1,1.052953036053131,46,40-49,Male,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",13,Permanently sick or disabled,below 500 <80>,1,1,3-5 kilometers,1000 and more,6,30,1,1,0.3333333333333333,NA,NA,NA,3,2,3,3,3,3,3,3,4,3,4,3,4,4,4,3,1
4,1,1,1,1,1,1,1,9,1.0733727810650888,64,60 and older,Female,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",12,Retired,"2,500 to below 3,000 <80>",2,7,Less than 3 kilometer,50 <96> 249,5,0,0,0,0.8333333333333334,NA,NA,NA,1,2,1,1,1,1,1,1,2,1,2,1,2,4,2,4,2
4,2,2,3,2,3,3,2,2,1.0733727810650888,44,40-49,Female,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",16,Employee in low / medium position,"1,000 to below 1,500 <80>",1,5,Less than 3 kilometer,250 <96> 499,6,0,0.875,1,0.3333333333333333,NA,NA,NA,3,3,3,3,3,2,3,3,4,3,4,3,3,3,3,2,2
4,2,2,2,3,2,3,3,4,1.0733727810650888,57,50-59,Male,Nordrhein-Westfalen,1,"Single, without partner",Roman Catholic,15,Employee in low / medium position,"2,000 to below 2,500 <80>",1,3,6-10 kilometers,500 <96> 999,5,2,0.75,1,0,NA,NA,NA,4,4,4,3,3,3,3,3,4,3,4,2,4,3,3,3,2
4,1,1,1,1,1,1,2,2,1.030549898167006,51,50-59,Female,Nordrhein-Westfalen,1,Divorced / separated,Roman Catholic,19,Employee in high position,No answer,3,7,11-20 kilometers,1 <96> 49,2,0,0.25,0,0.8333333333333334,NA,NA,NA,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3
4,1,1,1,2,2,2,1,3,1.0707018451457149,29,18-29,Female,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",16,Senior civil servant <96> highest level,"2,000 to below 2,500 <80>",1,3,Don't know,250 <96> 499,4,0,0.625,0.3333333333333333,0.5,NA,NA,NA,4,4,4,3,3,3,4,4,4,4,4,2,3,4,4,4,1
4,1,1,1,1,1,1,1,6,1.0707018451457149,30,18-29,Female,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",23,"In schooling / vocational training, student","5,000 or more <80>",4,6,Less than 3 kilometer,250 <96> 499,5,0,0.875,0.3333333333333333,0.3333333333333333,NA,NA,NA,3,3,3,2,3,2,3,4,3,3,1,3,3,4,1,3,3
4,1,1,1,1,1,1,1,6,0.942776902731136,64,60 and older,Male,Nordrhein-Westfalen,1,Widowed,"No, I don't feel close to any religion",17,Self-employed / freelancer,"1,000 to below 1,500 <80>",1,6,Less than 3 kilometer,250 <96> 499,4,0,0.125,0,0,NA,NA,NA,1,1,1,1,2,1,1,2,1,2,1,1,1,3,2,1,1
4,1,1,1,1,1,1,1,7,0.942776902731136,61,60 and older,Male,Nordrhein-Westfalen,1,Divorced / separated,"No, I don't feel close to any religion",11,Homemaker,"1,500 to below 2,000 <80>",1,6,3-5 kilometers,1000 and more,4,0,0.25,0,0,NA,NA,NA,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,3,3
4,1,2,2,1,2,1,1,8,0.942776902731136,50,40-49,Female,Nordrhein-Westfalen,1,Divorced / separated,"No, I don't feel close to any religion",12,Employee in high position,"2,500 to below 3,000 <80>",1,5,6-10 kilometers,1000 and more,4,0,1,0,0.16666666666666666,NA,NA,NA,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2
4,2,2,2,2,2,2,4,8,0.942776902731136,51,50-59,Female,Nordrhein-Westfalen,1,"With partner, living together",Roman Catholic,14,Employee in low / medium position,"1,500 to below 2,000 <80>",2,5,Less than 3 kilometer,1000 and more,8,80,0.875,0.6666666666666666,0.8333333333333334,NA,NA,NA,3,4,3,3,3,3,3,4,4,3,3,3,4,4,4,4,2
4,1,1,1,1,1,1,1,2,0.942776902731136,34,30-39,Male,Nordrhein-Westfalen,1,"Single, without partner",Other non-Christian religion,15,Retired,"2,500 to below 3,000 <80>",2,7,3-5 kilometers,50 <96> 249,2,3,0.375,0.3333333333333333,0.16666666666666666,NA,NA,NA,2,1,1,3,2,3,2,3,3,3,2,2,2,3,3,2,1
4,3,4,4,3,3,3,4,8,0.942776902731136,66,60 and older,Female,Nordrhein-Westfalen,1,Married,"Christian, but not close to a particular religious community",16,Retired,"3,000 to below 3,500 <80>",2,5,Less than 3 kilometer,1000 and more,6,69,1,1,0.16666666666666666,NA,NA,NA,4,2,4,4,4,3,3,4,4,3,4,4,4,4,4,3,3
4,2,4,3,4,2,1,1,5,0.942776902731136,24,18-29,Female,Nordrhein-Westfalen,1,"Single, without partner",Roman Catholic,16,"In schooling / vocational training, student","500 to below 1,000 <80>",4,4,3-5 kilometers,50 <96> 249,4,20,1,0.6666666666666666,0.8333333333333334,NA,NA,NA,4,3,4,4,2,4,4,4,4,4,2,4,4,4,1,4,1
4,1,1,1,1,1,2,1,1,0.942776902731136,77,60 and older,Male,Nordrhein-Westfalen,1,Married,"Christian, but not close to a particular religious community",14,Retired,"4,000 to below 4,500 <80>",2,8,Less than 3 kilometer,500 <96> 999,5,2,0.625,0,0.3333333333333333,NA,NA,NA,3,2,3,1,3,2,3,3,4,3,3,2,3,4,2,3,4
4,2,3,2,2,2,2,4,6,0.942776902731136,35,30-39,Female,Nordrhein-Westfalen,1,"Single, without partner",Roman Catholic,17,Employee in low / medium position,No answer,1,5,6-10 kilometers,1000 and more,5,30,1,1,0.3333333333333333,NA,NA,NA,4,4,4,4,3,4,3,4,4,4,4,3,3,4,3,3,1
4,1,2,2,2,2,3,3,8,0.964720986187954,51,50-59,Female,Nordrhein-Westfalen,1,Married,Protestant,13,Employee in low / medium position,"2,500 to below 3,000 <80>",2,7,3-5 kilometers,50 <96> 249,5,2,0.875,0.6666666666666666,0.16666666666666666,NA,NA,NA,3,4,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3
4,4,2,2,2,2,2,2,6,0.964720986187954,43,40-49,Male,Nordrhein-Westfalen,1,"Single, without partner",Protestant Free Church,25,Skilled worker,"1,000 to below 1,500 <80>",1,7,Don't know,1000 and more,5,10,0.875,0.6666666666666666,0.5,NA,NA,NA,3,2,3,4,3,2,3,3,3,2,3,2,3,3,3,3,4
4,1,1,1,1,1,1,2,3,0.964720986187954,47,40-49,Male,Nordrhein-Westfalen,1,"Single, without partner",Protestant,3,Retired,"1,500 to below 2,000 <80>",1,5,6-10 kilometers,50 <96> 249,5,0,0.375,0,0,NA,NA,NA,2,1,3,2,2,1,2,2,1,2,2,2,1,3,3,1,3
4,1,1,1,1,1,2,3,9,0.964720986187954,64,60 and older,Male,Nordrhein-Westfalen,1,Divorced / separated,"No, I don't feel close to any religion",13,Retired,"2,000 to below 2,500 <80>",1,7,3-5 kilometers,1000 and more,5,0,0.875,0,0.3333333333333333,NA,NA,NA,3,2,4,2,2,3,4,4,4,3,4,3,4,3,4,3,3
4,2,2,1,2,2,2,2,7,0.964720986187954,47,40-49,Female,Nordrhein-Westfalen,1,Married,"Christian, but not close to a particular religious community",13,Retired,"3,500 to below 4,000 <80>",2,7,Less than 3 kilometer,500 <96> 999,2,0,0.125,0.3333333333333333,0,NA,NA,NA,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2
4,2,2,3,3,3,3,4,5,0.964720986187954,51,50-59,Female,Nordrhein-Westfalen,1,Divorced / separated,"No, I don't feel close to any religion",17,"In schooling / vocational training, student","1,000 to below 1,500 <80>",1,6,Less than 3 kilometer,1000 and more,9,91,0.875,1,0.5,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
4,1,2,3,2,2,2,2,10,0.964720986187954,22,18-29,Male,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",13,Unskilled worker,"3,500 to below 4,000 <80>",3,7,Less than 3 kilometer,250 <96> 499,0,0,0.375,0.6666666666666666,0.5,NA,NA,NA,3,3,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2
4,2,1,1,1,1,1,1,8,0.964720986187954,31,30-39,Male,Nordrhein-Westfalen,1,"With partner, living together","No, I don't feel close to any religion",21,"In schooling / vocational training, student","2,500 to below 3,000 <80>",2,5,11-20 kilometers,500 <96> 999,2,0,0,0.3333333333333333,0.16666666666666666,NA,NA,NA,2,1,1,1,1,2,2,2,2,2,2,1,3,3,3,4,2
4,1,1,1,1,1,2,3,0,0.964720986187954,48,40-49,Male,Nordrhein-Westfalen,1,"Single, without partner",Protestant Free Church,11,Unskilled worker,"500 to below 1,000 <80>",1,1,Less than 3 kilometer,1000 and more,1,0,1,0.3333333333333333,0.6666666666666666,NA,NA,NA,3,3,3,4,3,3,3,3,4,3,3,4,3,3,4,3,1
4,1,1,1,1,1,1,1,8,0.964720986187954,28,18-29,Male,Nordrhein-Westfalen,1,"With partner, living together","No, I don't feel close to any religion",20,Employee in low / medium position,"2,000 to below 2,500 <80>",2,7,3-5 kilometers,1000 and more,2,0,0,0,0,NA,NA,NA,2,3,3,1,3,3,3,2,3,2,3,1,2,3,4,1,2
4,1,1,1,1,1,1,2,7,0.964720986187954,56,50-59,Female,Nordrhein-Westfalen,1,"Single, without partner","Christian, but not close to a particular religious community",18,Employee in low / medium position,"1,500 to below 2,000 <80>",1,6,Less than 3 kilometer,1000 and more,3,10,0.25,0,0.16666666666666666,NA,NA,NA,3,2,2,2,3,3,2,2,3,3,2,2,3,4,4,3,2
4,1,1,1,1,1,1,1,8,0.964720986187954,57,50-59,Female,Nordrhein-Westfalen,1,Widowed,Roman Catholic,13,Permanently sick or disabled,"1,000 to below 1,500 <80>",1,8,Less than 3 kilometer,1000 and more,7,1,0.375,0,0.5,NA,NA,NA,2,3,2,2,2,2,2,2,3,2,2,1,2,4,4,1,1
4,2,3,3,2,3,3,3,5,0.964720986187954,41,40-49,Male,Nordrhein-Westfalen,1,Divorced / separated,No answer,14,Unemployed / seeking work,"1,500 to below 2,000 <80>",3,6,Less than 3 kilometer,1 <96> 49,5,1,0.875,0.6666666666666666,0,NA,NA,NA,2,2,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3
4,1,1,1,2,1,1,1,8,0.964720986187954,55,50-59,Male,Nordrhein-Westfalen,1,"With partner, living together","No, I don't feel close to any religion",13,Self-employed / freelancer,"4,000 to below 4,500 <80>",3,6,Less than 3 kilometer,500 <96> 999,5,0,0.25,0,0,NA,NA,NA,2,2,3,2,3,2,3,3,3,2,3,2,3,3,2,3,2
4,1,1,1,1,1,1,2,7,0.964720986187954,56,50-59,Female,Nordrhein-Westfalen,1,Married,"Eastern religion (Buddhism, Hinduism, Sikhism, Shinto, Tao, etc.)",19,Self-employed / freelancer,"2,500 to below 3,000 <80>",2,4,Less than 3 kilometer,1000 and more,2,0,0.5,0,0.3333333333333333,NA,NA,NA,2,1,2,3,2,2,3,2,3,3,3,2,2,3,4,3,1
4,1,2,2,1,2,2,2,4,0.964720986187954,43,40-49,Male,Nordrhein-Westfalen,1,Married,Roman Catholic,13,Permanently sick or disabled,No answer,3,5,Don't know,1000 and more,1,43,1,0.6666666666666666,0.8333333333333334,NA,NA,NA,4,3,2,4,2,3,4,4,2,3,2,3,2,3,3,3,1
4,1,1,1,1,1,1,1,8,0.964720986187954,29,18-29,Female,Nordrhein-Westfalen,1,Married,"Christian, but not close to a particular religious community",19,Parental leave,"3,500 to below 4,000 <80>",3,6,Less than 3 kilometer,1000 and more,4,0,0.125,0,0.3333333333333333,NA,NA,NA,2,1,1,1,1,1,2,2,2,2,1,2,1,3,1,1,1
4,4,4,4,4,4,4,4,5,0.964720986187954,44,40-49,Female,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",16,Employee in high position,"3,000 to below 3,500 <80>",4,6,Less than 3 kilometer,1000 and more,10,100,1,1,0.8333333333333334,NA,NA,NA,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,3
4,2,1,2,2,2,2,2,8,0.964720986187954,60,50-59,Female,Nordrhein-Westfalen,1,Married,"No, I don't feel close to any religion",14,Homemaker,"1,500 to below 2,000 <80>",2,4,3-5 kilometers,500 <96> 999,2,0,0.375,0,0,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
4,1,1,1,1,1,1,2,10,0.964720986187954,49,40-49,Female,Nordrhein-Westfalen,1,"With partner, living together",Protestant,13,Self-employed / freelancer,"3,500 to below 4,000 <80>",2,9,Less than 3 kilometer,1000 and more,3,0,0.125,0,0,NA,NA,NA,2,2,1,2,3,2,2,2,2,2,2,2,2,3,1,3,3
